piam_variable;Variable;factor;weight;spatial
Resources|Land Cover Conserved|Urban Area|+|Protected (million ha);Land Cover|Protected (million ha);1;NULL;reg+glo
Resources|Land Cover Conserved|Other Land|+|Protected (million ha);Land Cover|Protected (million ha);1;NULL;reg+glo
Population (million people);Population (million);1;NULL;reg+glo
SDG|SDG02|Prevalence of underweight (million);Population|Risk of Hunger (million);1;NULL;reg+glo
Prices|Index2010|Agriculture|Food products (1);Price|Agriculture|Non-Energy Crops and Livestock|Index (Index (2005 = 1));1;NULL;reg+glo
Prices|Index2010|Agriculture|Food products|Plant-based (1);Price|Agriculture|Non-Energy Crops|Index (Index (2005 = 1));1;NULL;reg+glo
Prices|GHG Emission|CO2|Peatland (US$2017/tCO2);Price|Carbon|CH4 (US$2005/t CO2);1;NULL;reg+glo
Prices|GHG Emission|CO2|Peatland (US$2017/tCO2);Price|Carbon|CO2 (US$2005/t CO2);1;NULL;reg+glo
Prices|GHG Emission|CO2|Peatland (US$2017/tCO2);Price|Carbon|N2O (US$2005/t CO2);1;NULL;reg+glo
Prices|Bioenergy (US$2017/GJ);Price|Primary Energy|Biomass (US$2005/GJ);1;NULL;reg+glo
Prices|Water|Agriculture (Index 2005=100);Price|Water (Index (2005 = 1));0.01;NULL;reg+glo
Demand|Bioenergy|++|1st generation (EJ/yr);Primary Energy|Biomass (EJ/yr);1;NULL;reg+glo
Demand|Bioenergy|++|2nd generation (EJ/yr);Primary Energy|Biomass (EJ/yr);1;NULL;reg+glo
Demand|Bioenergy|++|Traditional Burning (EJ/yr);Primary Energy|Biomass (EJ/yr);1;NULL;reg+glo
Demand|Bioenergy|++|1st generation (EJ/yr);Primary Energy|Biomass|1st Generation (EJ/yr);1;NULL;reg+glo
ZERO (NA);Primary Energy|Biomass|1st Generation|Biodiesel (EJ/yr);1;NULL;reg+glo
ZERO (NA);Primary Energy|Biomass|1st Generation|Bioethanol (EJ/yr);1;NULL;reg+glo
Demand|Bioenergy|2nd generation|++|Bioenergy crops (EJ/yr);Primary Energy|Biomass|Energy Crops (EJ/yr);1;NULL;reg+glo
